factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste
incineration_facility,太田市清掃センター第4号焼却炉,"[139.386307, 36.345112]",群馬県太田市清原町,太田市(群馬県),0,休止,無し
incineration_facility,太田市清掃センター第3号焼却炉,"[139.386307, 36.345112]",群馬県太田市清原町,太田市(群馬県),0,休止,無し
incineration_facility,藤岡市清掃センター,"[139.074722, 36.25861]",群馬県藤岡市,藤岡市(群馬県),22631,,無し
incineration_facility,富岡市清掃センター,"[138.889709, 36.259785]",群馬県富岡市,富岡市(群馬県),17518,,無し
incineration_facility,草津町クリーンセンター,"[138.596115, 36.620556]",群馬県吾妻郡草津町,草津町(群馬県),3415,,無し
incineration_facility,玉村町クリーンセンター,"[139.115005, 36.304443]",群馬県玉村町,玉村町(群馬県),10984,,無し
incineration_facility,甘楽西部環境衛生施設組合清掃センター,"[138.921768, 36.243004]",群馬県甘楽郡,甘楽西部環境衛生施設組合(群馬県),2023,,無し
incineration_facility,大泉町外二町清掃センター,"[139.404846, 36.247925]",群馬県大泉町,大泉町外二町環境衛生施設組合(群馬県),0,廃止,無し
incineration_facility,太田市外三町広域清掃組合クリーンプラザ,"[139.375504, 36.291157]",群馬県太田市,太田市外三町広域清掃組合(群馬県),90251,新設（新規稼働）,無し
incineration_facility,さいたま市クリーンセンター大崎第二工場,"[139.645676, 35.861683]",埼玉県さいたま市,さいたま市(埼玉県),116544,,無し
incineration_facility,さいたま市東部環境センター,"[139.645676, 35.861683]",埼玉県さいたま市,さいたま市(埼玉県),61627,,無し
incineration_facility,さいたま市西部環境センター,"[139.579727, 35.925198]",埼玉県さいたま市西区,さいたま市(埼玉県),76761,,無し
incineration_facility,さいたま市桜環境センター,"[139.610321, 35.856171]",埼玉県さいたま市桜区,さいたま市(埼玉県),113286,,無し
incineration_facility,川越市東清掃センター焼却施設,"[139.477036, 35.909462]",埼玉県川越市東田町,川越市(埼玉県),22044.91,,無し
incineration_facility,川越市資源化センター熱回収施設,"[139.485825, 35.925098]",埼玉県川越市,川越市(埼玉県),66350.42,,無し
incineration_facility,川口市戸塚環境センター西棟(4号炉),"[139.754181, 35.863064]",埼玉県川口市戸塚,川口市(埼玉県),30099,,有り
incineration_facility,川口市戸塚環境センター西棟(3号炉),"[139.754181, 35.863064]",埼玉県川口市戸塚,川口市(埼玉県),28960,,有り
incineration_facility,川口市朝日環境センター,"[139.745255, 35.806961]",埼玉県川口市朝日,川口市(埼玉県),91426,,有り
incineration_facility,所沢市西部クリーンセンターごみ焼却施設,"[139.407715, 35.804592]",埼玉県所沢市西狭山ケ丘,所沢市(埼玉県),27066,,有り
incineration_facility,所沢市東部クリーンセンターごみ焼却施設,"[139.423538, 35.812645]",埼玉県所沢市東狭山ケ丘,所沢市(埼玉県),51503,,有り
incineration_facility,飯能市クリーンセンター,"[139.327621, 35.855656]",埼玉県飯能市,飯能市(埼玉県),18199,,有り
incineration_facility,加須クリーンセンターごみ焼却施設,"[139.601944, 36.13139]",埼玉県加須市,加須市(埼玉県),22184,,無し
incineration_facility,東松山市クリーンセンター,"[139.400009, 36.042221]",埼玉県東松山市,東松山市(埼玉県),24488,,無し
incineration_facility,狭山市稲荷山環境センター(旧名称：　狭山市第二環境センター),"[139.397537, 35.847969]",埼玉県狭山市稲荷山,狭山市(埼玉県),33514,,無し
incineration_facility,羽生市清掃センター,"[139.548477, 36.172634]",埼玉県羽生市,羽生市(埼玉県),13750,,無し
incineration_facility,上尾市西貝塚環境センター,"[139.554123, 35.937237]",埼玉県上尾市西貝塚,上尾市(埼玉県),52177.65,,無し
incineration_facility,入間市総合クリーンセンター,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),35136,,無し
incineration_facility,入間市清掃事業所,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),0,休止,無し
incineration_facility,朝霞市クリーンセンター,"[139.593735, 35.797188]",埼玉県朝霞市,朝霞市(埼玉県),28064.99,,無し
incineration_facility,朝霞市クリーンセンター,"[139.593735, 35.797188]",埼玉県朝霞市,朝霞市(埼玉県),0,休止,無し
incineration_facility,和光市清掃センター,"[139.605835, 35.781387]",埼玉県和光市,和光市(埼玉県),19597.59,,無し
incineration_facility,桶川市ごみ焼却施設,"[139.55838, 36.002766]",埼玉県桶川市,桶川市(埼玉県),0,休止,無し
incineration_facility,坂戸市西清掃センター,"[139.382431, 35.965279]",埼玉県坂戸市西インター,坂戸市(埼玉県),21068,,無し
incineration_facility,坂戸市東清掃センター焼却施設,"[139.441193, 35.952766]",埼玉県坂戸市東坂戸,坂戸市(埼玉県),0,休止,無し
incineration_facility,ふじみ野市・三芳町環境センター,"[139.519516, 35.879272]",埼玉県ふじみ野市,ふじみ野市(埼玉県),34029,,無し
incineration_facility,伊奈町クリーンセンター,"[139.623947, 35.999958]",埼玉県伊奈町,伊奈町(埼玉県),10756.89,,無し
incineration_facility,川島町環境センターごみ処理施設,"[139.484238, 35.992493]",埼玉県川島町,川島町(埼玉県),4836,,無し
incineration_facility,杉戸町環境センター,"[139.736679, 36.025555]",埼玉県杉戸町,杉戸町(埼玉県),20630,,無し
incineration_facility,蓮田白岡衛生組合ごみ焼却施設,"[139.66214, 35.99435]",埼玉県蓮田市,蓮田白岡衛生組合(埼玉県),27448,,有り
