name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
長門地区広域行政事務組合一般廃棄物最終処分場,"[131.182617, 34.37056]",長門地区広域行政事務組合(山口県),100,山間,破砕ごみ・中間処理残査・焼却残渣,3300,埋立終了,山口県長門市
周南東部環境施設組合後畑不燃物埋立処理場,"[131.806595, 34.055725]",周南東部環境施設組合(山口県),62,山間,不燃ごみ・粗大ごみ,178000,埋立中,山口県周南市
周南東部環境施設組合後畑不燃物埋立処理場,"[131.806595, 34.055725]",周南東部環境施設組合(山口県),100,山間,不燃ごみ・粗大ごみ,106100,埋立終了,山口県周南市
徳島市西須賀最終処分場,"[134.547165, 34.029572]",徳島市(徳島県),100,平地,可燃ごみ・不燃ごみ・焼却残渣,95594,埋立終了,徳島県徳島市西須賀町
徳島市応神最終処分場,"[134.523071, 34.12236]",徳島市(徳島県),100,平地,可燃ごみ・焼却残渣,40000,埋立終了,徳島県徳島市応神町応神産業団地
徳島市方上最終処分場,"[134.53067, 34.018723]",徳島市(徳島県),100,平地,不燃ごみ・粗大ごみ,190800,埋立終了,徳島県徳島市方上町
鳴門市城山最終処分場,"[134.608871, 34.172535]",鳴門市(徳島県),100,平地,その他,83560,埋立終了,徳島県鳴門市
鳴門市衛生センター場内処分場,"[134.608871, 34.172535]",鳴門市(徳島県),100,平地,混合,15900,埋立終了,徳島県鳴門市
鳴門市里浦一般廃棄物最終処分場,"[134.611847, 34.158188]",鳴門市(徳島県),100,平地,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,126842,埋立終了,徳島県鳴門市里浦町粟津
小松島市赤石地区一般廃棄物最終処分場,"[134.610535, 33.982216]",小松島市(徳島県),32,海面,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,87000,埋立中,徳島県小松島市赤石町
小松島市高塚地区一般廃棄物最終処分場,"[134.590714, 34.004658]",小松島市(徳島県),100,平地,不燃ごみ・焼却残渣,70501,埋立終了,徳島県小松島市
勝浦町清掃センター,"[134.511368, 33.931458]",勝浦町(徳島県),100,山間,可燃ごみ,1500,埋立終了,徳島県勝浦郡勝浦町
上勝町日比ヶ谷残土処理場,"[134.40184, 33.888954]",上勝町(徳島県),99,山間,直接搬入ごみ・粗大ごみ・焼却残渣,450000,埋立終了,徳島県勝浦郡上勝町
神山町不燃物処理施設,"[134.350525, 33.967239]",神山町(徳島県),100,山間,破砕ごみ・中間処理残査,3700,埋立終了,徳島県神山町
神山町環境センター最終処分場,"[134.350525, 33.967239]",神山町(徳島県),12,山間,不燃ごみ・資源・粗大ごみ,15400,埋立中,徳島県神山町
松茂町最終処分場,"[134.580612, 34.133774]",松茂町(徳島県),100,平地,焼却残渣,7068,埋立終了,徳島県松茂町
松茂町クリーンセンター,"[134.580612, 34.133774]",松茂町(徳島県),31,平地,焼却残渣,11700,埋立中,徳島県松茂町
板野町一般廃棄物最終処分場,"[134.462601, 34.144356]",板野町(徳島県),100,平地,不燃ごみ・粗大ごみ・焼却残渣,5643,埋立終了,徳島県板野郡板野町
板野町一般廃棄物最終処分場,"[134.462601, 34.144356]",板野町(徳島県),62,山間,不燃ごみ・粗大ごみ・焼却残渣,33660,埋立中,徳島県板野郡板野町
