factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
bulky_waste,日立市清掃センター,"[140.65062, 36.599152]",茨城県日立市,日立市(茨城県),2146,531,無し,531,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,土浦市清掃センター,"[140.204193, 36.078354]",茨城県土浦市,土浦市(茨城県),1727,829,無し,829,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,笠間市環境センター,"[140.30426, 36.345196]",茨城県笠間市,笠間市(茨城県),1646,779,無し,779,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,ひたちなか市資源リサイクルセンター,"[140.534729, 36.39669]",茨城県ひたちなか市,ひたちなか市(茨城県),2299,1077,無し,1077,粗大ごみ・不燃ごみ,併用,,修理
bulky_waste,鹿嶋市立衛生センターリサイクル施設,"[140.644791, 35.965702]",茨城県鹿嶋市,鹿嶋市(茨城県),4868,1088,有り,1088,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,潮来クリーンセンター,"[140.555405, 35.947117]",茨城県潮来市,潮来市(茨城県),808,171,無し,171,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,行方市環境美化センター粗大ごみ処理施設,"[140.489014, 35.990482]",茨城県行方市,行方市(茨城県),942,535,無し,535,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理・展示・販売
bulky_waste,城里町環境センター,"[140.376328, 36.47924]",茨城県城里町,城里町(茨城県),442,74,無し,74,粗大ごみ,破砕,,機能なし
bulky_waste,東海村清掃センター,"[140.566223, 36.472927]",茨城県東海村,東海村(茨城県),0,0,無し,0,,併用,,機能なし
bulky_waste,阿見町霞クリーンセンター,"[140.215012, 36.03083]",茨城県阿見町,阿見町(茨城県),1874,640,無し,640,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,大洗、鉾田、水戸環境組合クリーンセンター,"[140.574875, 36.313343]",茨城県大洗,大洗、鉾田、水戸環境組合(茨城県),692,456,無し,456,粗大ごみ・不燃ごみ・混合（未分別）ごみ・可燃ごみ,併用,,機能なし
bulky_waste,江戸崎地方衛生土木組合圧縮施設,"[140.318985, 35.960327]",茨城県稲敷市江戸崎,江戸崎地方衛生土木組合(茨城県),167,,無し,,不燃ごみ,圧縮,,機能なし
bulky_waste,江戸崎地方衛生土木組合破砕施設,"[140.318985, 35.960327]",茨城県稲敷市江戸崎,江戸崎地方衛生土木組合(茨城県),3809,,無し,,粗大ごみ,破砕,,機能なし
bulky_waste,筑西広域市町村圏事務組合環境センター,"[139.979401, 36.305267]",茨城県筑西市,筑西広域市町村圏事務組合(茨城県),3131,1069,無し,1069,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,足利市南部クリーンセンター（粗大ごみ処理施設）,"[139.422699, 36.321087]",栃木県足利市南大町,足利市(栃木県),1348,1151,無し,1151,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,佐野市みかもクリーンセンター,"[139.578415, 36.314484]",栃木県佐野市,佐野市(栃木県),1545,486,無し,486,粗大ごみ・不燃ごみ,併用,,修理・展示・販売・譲渡
bulky_waste,那須塩原クリーンセンター,"[140.046127, 36.961666]",栃木県那須塩原市,那須塩原市(栃木県),956,386,無し,386,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,前橋市荻窪清掃工場,"[139.128647, 36.421848]",群馬県前橋市荻窪町,前橋市(群馬県),6909,3004,無し,3004,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,前橋市富士見クリーンステーション,"[139.065674, 36.460396]",群馬県前橋市富士見町引田,前橋市(群馬県),1026,719,無し,719,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,桐生市清掃センター粗大ごみ処理施設,"[139.325089, 36.40662]",群馬県桐生市清瀬町,桐生市(群馬県),5142,1711,無し,1711,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,伊勢崎市清掃リサイクルセンター21,"[139.196671, 36.311386]",群馬県伊勢崎市,伊勢崎市(群馬県),5621,1832,無し,1832,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,藤岡市清掃センター粗大ごみ破砕施設,"[139.074722, 36.25861]",群馬県藤岡市,藤岡市(群馬県),1702,385,無し,385,粗大ごみ・不燃ごみ,併用,,修理・展示・販売
bulky_waste,太田市外三町広域清掃組合リサイクルプラザ,"[139.375504, 36.291157]",群馬県太田市,太田市外三町広域清掃組合(群馬県),9221,5341,無し,5341,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・展示・販売
bulky_waste,さいたま市クリーンセンター大崎第二工場,"[139.645676, 35.861683]",埼玉県さいたま市,さいたま市(埼玉県),7004,1854,無し,1854,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,さいたま市西部環境センター,"[139.579727, 35.925198]",埼玉県さいたま市西区,さいたま市(埼玉県),6139,991,無し,991,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,さいたま市桜環境センター,"[139.610321, 35.856171]",埼玉県さいたま市桜区,さいたま市(埼玉県),6717,1802,無し,1802,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,川口市戸塚環境センター,"[139.754181, 35.863064]",埼玉県川口市戸塚,川口市(埼玉県),5555.87,1138.22,無し,1138.22,粗大ごみ,破砕,,機能なし
bulky_waste,行田市粗大ごみ処理場,"[139.455841, 36.138889]",埼玉県行田市,行田市(埼玉県),5225,411,無し,411,粗大ごみ・不燃ごみ・その他,破砕,,機能なし
bulky_waste,所沢市東部クリーンセンターリサイクルプラザ不燃・粗大ごみ処理施設,"[139.423538, 35.812645]",埼玉県所沢市東狭山ケ丘,所沢市(埼玉県),6719,1327,無し,1327,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,飯能市クリーンセンター,"[139.327621, 35.855656]",埼玉県飯能市,飯能市(埼玉県),1317,0,無し,0,粗大ごみ・不燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,加須クリーンセンター粗大ごみ処理施設,"[139.601944, 36.13139]",埼玉県加須市,加須市(埼玉県),2137,1272,無し,1272,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,春日部市クリーンセンター,"[139.752502, 35.975277]",埼玉県春日部市,春日部市(埼玉県),4042,985,無し,985,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,狭山市奥富環境センター(旧名称：狭山市第一環境センター),"[139.412231, 35.853054]",埼玉県狭山市,狭山市(埼玉県),4206,,無し,,粗大ごみ・不燃ごみ,併用,,修理・展示・販売・譲渡
bulky_waste,羽生市粗大ごみ処理施設,"[139.548477, 36.172634]",埼玉県羽生市,羽生市(埼玉県),2537,425,無し,425,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,上尾市西貝塚環境センター,"[139.554123, 35.937237]",埼玉県上尾市西貝塚,上尾市(埼玉県),1503.33,512.77,無し,512.77,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,入間市総合クリーンセンター,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),4374,728,無し,728,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,入間市清掃事業所,"[139.391113, 35.835835]",埼玉県入間市,入間市(埼玉県),,,無し,,粗大ごみ・資源ごみ,圧縮,休止,機能なし
bulky_waste,朝霞市粗大ごみ処理施設,"[139.593735, 35.797188]",埼玉県朝霞市,朝霞市(埼玉県),2787.42,1944.55,無し,1944.55,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,和光市清掃センター,"[139.605835, 35.781387]",埼玉県和光市,和光市(埼玉県),3637,2327.19,無し,2327.19,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,桶川市粗大ごみ処理施設,"[139.55838, 36.002766]",埼玉県桶川市,桶川市(埼玉県),739,167,無し,167,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,三郷市不燃物処理場,"[139.872284, 35.830151]",埼玉県三郷市,三郷市(埼玉県),886,357,無し,357,粗大ごみ・不燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,坂戸市東清掃センター粗大ごみ処理施設,"[139.441193, 35.952766]",埼玉県坂戸市東坂戸,坂戸市(埼玉県),2913,611,無し,611,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,幸手市ひばりヶ丘桜泉園,"[139.725845, 36.078056]",埼玉県幸手市,幸手市(埼玉県),1435,340,無し,340,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,吉川市環境センター粗大ごみ処理施設,"[139.855652, 35.89595]",埼玉県吉川市,吉川市(埼玉県),1907,890,無し,890,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,蓮田白岡衛生組合粗大ごみ処理施設,"[139.66214, 35.99435]",埼玉県蓮田市,蓮田白岡衛生組合(埼玉県),2322,879,無し,879,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理・展示・販売・譲渡
bulky_waste,久喜宮代清掃センター30t／5h粗大ごみ処理施設,"[139.666946, 36.062222]",埼玉県久喜市,久喜宮代衛生組合(埼玉県),1223,404,無し,404,粗大ごみ・不燃ごみ・その他,破砕,,機能なし
bulky_waste,八甫清掃センター粗大ごみ処理施設,"[139.69136, 36.09634]",埼玉県久喜市八甫,久喜宮代衛生組合(埼玉県),1483,666,無し,666,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,銚子市清掃センター(粗大ごみ処理施設),"[140.848953, 35.732414]",千葉県銚子市清水町,銚子市(千葉県),0,0,無し,0,粗大ごみ・不燃ごみ,併用,廃止,機能なし
bulky_waste,市川市クリーンセンター(不燃・粗大ごみ処理施設),"[139.931061, 35.721855]",千葉県市川市,市川市(千葉県),5152,1696,無し,1696,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,船橋市西浦資源リサイクル施設,"[139.966797, 35.692257]",千葉県船橋市西浦,船橋市(千葉県),7863.8,1696.34,無し,1696.34,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,木更津市クリーンセンター,"[139.924896, 35.381248]",千葉県木更津市,木更津市(千葉県),2846,627,有り,627,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,松戸市日暮クリーンセンター,"[139.963226, 35.786293]",千葉県松戸市日暮,松戸市(千葉県),9494,4877,無し,4877,粗大ごみ・不燃ごみ,圧縮,,機能なし
bulky_waste,旭市クリーンセンター粗大ごみ処理施設,"[140.648178, 35.716034]",千葉県旭市,旭市(千葉県),,,,,,,廃止,
bulky_waste,柏市清掃工場粗大ごみ処理施設,"[139.975937, 35.867508]",千葉県柏市,柏市(千葉県),8287,599,無し,599,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,市原市福増クリーンセンター第一粗大ごみ処理施設,"[140.139389, 35.475063]",千葉県市原市福増,市原市(千葉県),221,,無し,,粗大ごみ,併用,,機能なし
bulky_waste,市原市福増クリーンセンター第二粗大ごみ処理施設,"[140.139389, 35.475063]",千葉県市原市福増,市原市(千葉県),8621,2889,無し,2889,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,流山市クリーンセンターリサイクルプラザ・リサイクル館,"[139.90274, 35.856285]",千葉県流山市,流山市(千葉県),9612,3800,無し,3800,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・展示・販売
bulky_waste,八千代市粗大ごみ処理施設,"[140.099731, 35.7225]",千葉県八千代市,八千代市(千葉県),1247,94,無し,94,粗大ごみ,併用,,機能なし
bulky_waste,我孫子市粗大ごみ処理施設,"[140.028336, 35.864166]",千葉県我孫子市,我孫子市(千葉県),1627,355,無し,355,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,君津市粗大ごみ処理施設,"[139.902496, 35.330555]",千葉県君津市,君津市(千葉県),0,0,無し,0,粗大ごみ,併用,休止,機能なし
bulky_waste,浦安市クリーンセンター(ごみ処理施設),"[139.901978, 35.65316]",千葉県浦安市,浦安市(千葉県),3768,914,無し,914,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,四街道市クリーンセンター粗大ごみ処理施設,"[140.167969, 35.669819]",千葉県四街道市,四街道市(千葉県),2276,270,無し,270,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,袖ヶ浦市クリーンセンター粗大ごみ処理施設,"[139.954453, 35.429874]",千葉県袖ケ浦市,袖ケ浦市(千葉県),2921,1835,無し,1835,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
bulky_waste,酒々井リサイクル文化センター粗大ごみ処理施設,"[140.269562, 35.724865]",千葉県印旛郡酒々井町,佐倉市、酒々井町清掃組合(千葉県),6016,2650,無し,2650,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
