都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
茨城県,大子町,大子町環境センター,4799,,無し
茨城県,阿見町,阿見町霞クリーンセンター,15417,,無し
茨城県,大宮地方環境整備組合,大宮地方環境整備組合(環境センター・ごみ焼却施設),27169,,無し
茨城県,龍ケ崎地方塵芥処理組合,くりーんプラザ・龍,29702,,無し
茨城県,さしま環境管理事務組合,さしまクリーンセンター寺久熱回収施設,48866,,無し
茨城県,大洗、鉾田、水戸環境組合,大洗、鉾田、水戸環境組合クリーンセンター,10606,,無し
茨城県,江戸崎地方衛生土木組合,江戸崎地方衛生土木組合環境センター,20188,,無し
茨城県,筑西広域市町村圏事務組合,筑西広域市町村圏事務組合環境センター,61049,,無し
茨城県,常総地方広域市町村圏事務組合,常総環境センターごみ焼却施設,67600,,無し
茨城県,霞台厚生施設組合,霞台厚生施設組合環境センター,,廃止,
茨城県,霞台厚生施設組合,霞台厚生施設組合クリーンセンター,54809.41,新設（新規稼働）,無し
茨城県,下妻地方広域事務組合,ごみ処理施設「クリーンポート・きぬ」,24265.46,,無し
茨城県,ひたちなか・東海広域事務組合,ひたちなか・東海クリーンセンター,58244,,無し
栃木県,宇都宮市,クリーンパーク茂原焼却ごみ処理施設,93218.44,,無し
栃木県,宇都宮市,宇都宮市南清掃センター,0,廃止,無し
栃木県,宇都宮市,宇都宮市クリーンセンター　下田原,51596,,無し
栃木県,足利市,足利市南部クリーンセンター,47928,,有り
栃木県,栃木市,とちぎクリーンプラザ,45455,,無し
栃木県,佐野市,葛生清掃センター,9228,,無し
栃木県,佐野市,佐野市みかもクリーンセンター,24482,,無し
栃木県,鹿沼市,環境クリーンセンター(ごみ処理施設),26353,,有り
栃木県,日光市,日光市クリーンセンター,27219,,無し
栃木県,那須塩原市,那須塩原クリーンセンター,34871,,無し
栃木県,壬生町,壬生町清掃センター焼却施設,8894,,無し
栃木県,那須地区広域行政事務組合,広域クリーンセンター大田原,22814,,無し
栃木県,芳賀地区広域行政事務組合,芳賀地区エコステーション,33580,,有り
栃木県,南那須地区広域行政事務組合,保健衛生センター,10077,,無し
栃木県,塩谷広域行政組合,エコパークしおや,27078.32,,無し
栃木県,小山広域保健衛生組合,小山広域保健衛生組合中央清掃センター160t焼却施設,34878,,無し
栃木県,小山広域保健衛生組合,小山広域保健衛生組合中央清掃センター70t焼却施設,19528.29,,無し
群馬県,前橋市,前橋市亀泉清掃工場,0,休止,無し
群馬県,前橋市,前橋市六供清掃工場,89239,,無し
群馬県,前橋市,前橋市大胡クリーンセンター,0,休止,無し
群馬県,高崎市,高浜クリーンセンター,98558,,無し
群馬県,高崎市,吉井クリーンセンター,6514,,無し
群馬県,桐生市,桐生市清掃センターごみ焼却施設,62849,,無し
群馬県,伊勢崎市,伊勢崎市清掃リサイクルセンター21,58712,,無し
群馬県,太田市,太田市清掃センター第4号焼却炉,0,休止,無し
群馬県,太田市,太田市清掃センター第3号焼却炉,0,休止,無し
群馬県,藤岡市,藤岡市清掃センター,22631,,無し
群馬県,富岡市,富岡市清掃センター,17518,,無し
群馬県,安中市,碓氷川クリーンセンターごみ処理施設,17736,,無し
