都道府県名,地方公共団体名,施設名,埋め立て済み割合,埋立場所,処理対象廃棄物,全体容積(m3),処分場の現状
北海道,羽幌町,羽幌町一般廃棄物最終処分場,94,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,77280,埋立中
北海道,初山別村,初山別村じん芥処理場,44,山間,直接搬入ごみ,100000,埋立中
北海道,遠別町,遠別町北浜ごみ埋立地,80,平地,その他・直接搬入ごみ・粗大ごみ,9900,埋立中
北海道,天塩町,天塩町じん芥処理場,95,平地,不燃ごみ・焼却残渣,72300,埋立中
北海道,猿払村,猿払村一般廃棄物最終処分場,7,山間,不燃ごみ・粗大ごみ,17741,埋立中
北海道,猿払村,猿払村ゴミ処理場,100,山間,混合・不燃ごみ・粗大ごみ,17800,埋立終了
北海道,浜頓別町,浜頓別町一般廃棄物埋立処分地施設,89,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,25576,埋立中
北海道,中頓別町,中頓別町一般廃棄物埋立処理施設,11,山間,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査,13000,埋立中
北海道,枝幸町,枝幸町一般廃棄物埋立処分地施設,86,山間,不燃ごみ・直接搬入ごみ・焼却残渣,33723,埋立中
北海道,歌登町,歌登町一般廃棄物最終処分場,5,平地,不燃ごみ・焼却残渣,23000,埋立中
北海道,札文町,札文町一般廃棄物埋立処分地施設,62,山間,不燃ごみ・その他・直接搬入ごみ・粗大ごみ・焼却残渣,29067,埋立中
北海道,東藻琴村,東藻琴村ゴミ捨場,92,山間,不燃ごみ・粗大ごみ・焼却残渣,26000,埋立中
北海道,女満別町,女満別町一般廃棄物処理場内最終処分場,91,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,111260,埋立中
北海道,美幌町,美幌町一般廃棄物最終処分場,70,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,391955,埋立中
北海道,津別町,津別町一般廃棄物最終処分場,7,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,30000,埋立中
北海道,斜里町,斜里町以久科北埋立地,79,平地,混合・可燃ごみ・粗大ごみ・破砕ごみ・中間処理残査,209210,埋立中
北海道,清里町,清里町一般廃棄物最終処分場,48,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,10700,埋立中
北海道,小清水町,小清水町一般廃棄物最終処分場,73,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ,89800,埋立中
北海道,端野町,端野町廃棄物処理場,90,山間,混合・粗大ごみ,49408,埋立中
北海道,訓子府町,訓子府町一般廃棄物処理場,60,山間,混合・不燃ごみ・資源・直接搬入ごみ・粗大ごみ・焼却残渣,81980,埋立中
北海道,置戸町,置戸町勝山じん芥処理場,54,山間,混合・可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ,82300,埋立中
北海道,留辺蘂町,留辺蘂町豊金じん芥処理場,96,山間,混合・直接搬入ごみ・粗大ごみ,179895,埋立中
北海道,佐呂間町,佐呂間町一般廃棄物最終処理場,87,山間,混合,79540,埋立中
北海道,常呂町,常呂町一般廃棄物最終処分場,52,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,58857,埋立中
北海道,生田原町,生田原町豊原ゴミ埋立場,95,山間,混合・直接搬入ごみ,60000,埋立中
北海道,遠軽町,遠軽町一般廃棄物最終処分場,41,山間,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,68000,埋立中
北海道,遠軽町,遠軽町廃棄物最終処分場,99,山間,不燃ごみ・粗大ごみ・焼却残渣,177120,埋立中
北海道,丸瀬布町,丸瀬布町金山ゴミ捨場,95,平地,混合・直接搬入ごみ・粗大ごみ・焼却残渣,60000,埋立中
北海道,白滝村,白滝村奥白滝廃棄物処理場,57,平地,混合・焼却残渣,50000,埋立中
北海道,上湧別町,上湧別町廃棄物処理場,43,山間,混合・直接搬入ごみ・粗大ごみ・焼却残渣,114450,埋立中
北海道,湧別町,湧別町ゴミ捨場,96,平地,焼却残渣,12500,埋立中
北海道,滝上町,滝上町じん芥処理場,100,平地,不燃ごみ・焼却残渣,54000,埋立中
北海道,興部町,興部町一般廃棄物処理場,39,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,27900,埋立中
北海道,西興部村,西興部村ごみ処理場,43,平地,粗大ごみ・焼却残渣,24645,埋立中
北海道,雄武町,雄武町廃棄物最終処分場,24,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,83744,埋立中
北海道,豊浦町,豊浦町一般廃棄物最終処分場,100,山間,不燃ごみ,2088,埋立中
